timestamp,vehicle_count,density
00:21:01,0,Low
00:21:01,0,Low
00:21:01,0,Low
00:21:01,0,Low
00:21:01,0,Low
00:21:02,0,Low
00:21:02,0,Low
00:21:02,0,Low
00:21:02,0,Low
00:21:02,0,Low
00:21:02,0,Low
00:21:02,0,Low
00:21:03,0,Low
00:21:03,0,Low
00:21:03,0,Low
00:21:03,0,Low
00:21:03,0,Low
00:21:04,0,Low
00:21:04,0,Low
00:21:04,0,Low
00:21:04,0,Low
00:21:04,0,Low
00:21:04,0,Low
00:21:05,0,Low
00:21:05,0,Low
00:21:05,0,Low
00:21:06,0,Low
00:21:06,0,Low
00:21:07,0,Low
00:21:08,0,Low
00:21:08,0,Low
00:21:09,0,Low
00:21:09,0,Low
00:21:09,0,Low
00:21:10,0,Low
00:21:10,0,Low
00:21:10,0,Low
00:21:11,0,Low
00:21:11,0,Low
00:21:11,0,Low
00:21:11,0,Low
00:21:11,0,Low
00:21:12,0,Low
00:21:12,0,Low
00:21:12,0,Low
00:21:13,0,Low
00:21:14,0,Low
00:21:14,0,Low
00:21:14,0,Low
00:21:15,0,Low
00:21:15,0,Low
00:21:15,0,Low
00:21:15,0,Low
00:21:15,0,Low
00:21:16,0,Low
00:21:16,0,Low
00:21:16,0,Low
00:21:16,0,Low
00:21:16,0,Low
00:21:17,0,Low
00:21:17,0,Low
00:21:17,0,Low
00:21:17,0,Low
00:21:17,0,Low
00:21:17,0,Low
00:21:18,0,Low
00:21:18,0,Low
00:21:18,0,Low
00:21:18,0,Low
00:21:18,0,Low
00:21:19,0,Low
00:21:19,0,Low
00:21:19,0,Low
00:21:19,0,Low
00:21:19,0,Low
00:21:20,0,Low
00:21:20,0,Low
00:21:20,0,Low
00:21:20,0,Low
00:21:21,0,Low
00:21:21,0,Low
00:21:21,0,Low
00:21:21,0,Low
00:21:21,0,Low
00:21:22,0,Low
00:21:22,0,Low
00:21:22,0,Low
00:21:22,0,Low
00:21:22,0,Low
00:21:22,0,Low
00:21:23,0,Low
00:21:23,0,Low
00:21:23,0,Low
00:21:23,0,Low
00:21:23,0,Low
00:21:24,0,Low
00:21:24,0,Low
00:21:24,0,Low
00:21:24,0,Low
00:21:25,0,Low
00:21:25,0,Low
00:21:25,0,Low
00:21:25,0,Low
00:21:26,0,Low
00:21:26,0,Low
00:21:26,0,Low
00:21:26,0,Low
00:21:26,0,Low
00:21:27,0,Low
00:21:27,0,Low
00:21:27,0,Low
00:21:27,0,Low
00:21:27,0,Low
00:21:28,0,Low
00:21:28,0,Low
00:21:28,0,Low
